📡央视频道,#genre#
河北卫视高清,http://114.223.61.163:9999/rtp/239.49.8.188:6000
河南卫视高清,http://114.223.61.163:9999/rtp/239.49.8.197:6000
安徽卫视高清,http://114.223.61.163:9999/rtp/239.49.8.204:6000
江苏卫视高清,http://114.223.177.7:8800/rtp/239.49.8.138:6000
浙江卫视高清,http://114.223.177.7:8800/rtp/239.49.8.139:6000
东方卫视高清,http://114.223.177.7:8800/rtp/239.49.8.140:6000
北京卫视高清,http://114.223.177.7:8800/rtp/239.49.8.141:6000
湖南卫视高清,http://114.223.177.7:8800/rtp/239.49.8.142:6000
广东卫视高清,http://114.223.177.7:8800/rtp/239.49.8.143:6000
黑龙江卫视清,http://114.223.177.7:8800/rtp/239.49.8.144:6000
深圳卫视高清,http://114.223.177.7:8800/rtp/239.49.8.145:6000
山东卫视高清,http://114.223.177.7:8800/rtp/239.49.8.146:6000
湖北卫视高清,http://114.223.177.7:8800/rtp/239.49.8.147:6000
天津卫视高清,http://114.223.177.7:8800/rtp/239.49.8.148:6000
辽宁卫视高清,http://114.223.177.7:8800/rtp/239.49.8.173:6000
贵州卫视高清,http://114.223.177.7:8800/rtp/239.49.8.174:6000
四川卫视高清,http://114.223.177.7:8800/rtp/239.49.8.184:6000
江西卫视高清,http://114.223.177.7:8800/rtp/239.49.8.185:6000
东南卫视高清,http://114.223.177.7:8800/rtp/239.49.8.186:6000
吉林卫视高清,http://114.223.177.7:8800/rtp/239.49.8.187:6000
河北卫视高清,http://114.223.177.7:8800/rtp/239.49.8.188:6000
河南卫视高清,http://114.223.177.7:8800/rtp/239.49.8.197:6000
安徽卫视高清,http://114.223.177.7:8800/rtp/239.49.8.204:6000
江苏卫视高清,http://117.84.63.28:8888/rtp/239.49.8.138:6000
浙江卫视高清,http://117.84.63.28:8888/rtp/239.49.8.139:6000
东方卫视高清,http://117.84.63.28:8888/rtp/239.49.8.140:6000
北京卫视高清,http://117.84.63.28:8888/rtp/239.49.8.141:6000
湖南卫视高清,http://117.84.63.28:8888/rtp/239.49.8.142:6000
广东卫视高清,http://117.84.63.28:8888/rtp/239.49.8.143:6000
黑龙江卫视清,http://117.84.63.28:8888/rtp/239.49.8.144:6000
深圳卫视高清,http://117.84.63.28:8888/rtp/239.49.8.145:6000
山东卫视高清,http://117.84.63.28:8888/rtp/239.49.8.146:6000
湖北卫视高清,http://117.84.63.28:8888/rtp/239.49.8.147:6000
天津卫视高清,http://117.84.63.28:8888/rtp/239.49.8.148:6000
重庆卫视高清,http://117.84.63.28:8888/rtp/239.49.8.149:6000
辽宁卫视高清,http://117.84.63.28:8888/rtp/239.49.8.173:6000
贵州卫视高清,http://117.84.63.28:8888/rtp/239.49.8.174:6000
四川卫视高清,http://117.84.63.28:8888/rtp/239.49.8.184:6000
江西卫视高清,http://117.84.63.28:8888/rtp/239.49.8.185:6000
东南卫视高清,http://117.84.63.28:8888/rtp/239.49.8.186:6000
吉林卫视高清,http://117.84.63.28:8888/rtp/239.49.8.187:6000
河北卫视高清,http://117.84.63.28:8888/rtp/239.49.8.188:6000
河南卫视高清,http://117.84.63.28:8888/rtp/239.49.8.197:6000
安徽卫视高清,http://117.84.63.28:8888/rtp/239.49.8.204:6000
江苏卫视高清,http://49.75.132.100:4022/rtp/239.49.8.138:6000
浙江卫视高清,http://49.75.132.100:4022/rtp/239.49.8.139:6000
东方卫视高清,http://49.75.132.100:4022/rtp/239.49.8.140:6000
北京卫视高清,http://49.75.132.100:4022/rtp/239.49.8.141:6000
湖南卫视高清,http://49.75.132.100:4022/rtp/239.49.8.142:6000
广东卫视高清,http://49.75.132.100:4022/rtp/239.49.8.143:6000
黑龙江卫视清,http://49.75.132.100:4022/rtp/239.49.8.144:6000
深圳卫视高清,http://49.75.132.100:4022/rtp/239.49.8.145:6000
山东卫视高清,http://49.75.132.100:4022/rtp/239.49.8.146:6000
湖北卫视高清,http://49.75.132.100:4022/rtp/239.49.8.147:6000
天津卫视高清,http://49.75.132.100:4022/rtp/239.49.8.148:6000
重庆卫视高清,http://49.75.132.100:4022/rtp/239.49.8.149:6000
辽宁卫视高清,http://49.75.132.100:4022/rtp/239.49.8.173:6000
贵州卫视高清,http://49.75.132.100:4022/rtp/239.49.8.174:6000
四川卫视高清,http://49.75.132.100:4022/rtp/239.49.8.184:6000
江西卫视高清,http://49.75.132.100:4022/rtp/239.49.8.185:6000
东南卫视高清,http://49.75.132.100:4022/rtp/239.49.8.186:6000
吉林卫视高清,http://49.75.132.100:4022/rtp/239.49.8.187:6000
河北卫视高清,http://49.75.132.100:4022/rtp/239.49.8.188:6000
河南卫视高清,http://49.75.132.100:4022/rtp/239.49.8.197:600
安徽卫视高清,http://49.75.132.100:4022/rtp/239.49.8.204:6000
广西卫视高清,http://49.75.132.100:4022/rtp/239.49.8.209:6000
海南卫视高清,http://49.75.132.100:4022/rtp/239.49.8.212:6000
江苏卫视高清,http://180.103.179.176:8888/rtp/239.49.8.138:6000
浙江卫视高清,http://180.103.179.176:8888/rtp/239.49.8.139:6000
东方卫视高清,http://180.103.179.176:8888/rtp/239.49.8.140:6000
北京卫视高清,http://180.103.179.176:8888/rtp/239.49.8.141:6000
湖南卫视高清,http://180.103.179.176:8888/rtp/239.49.8.142:6000
广东卫视高清,http://180.103.179.176:8888/rtp/239.49.8.143:6000
黑龙江卫视清,http://180.103.179.176:8888/rtp/239.49.8.144:6000
深圳卫视高清,http://180.103.179.176:8888/rtp/239.49.8.145:6000
山东卫视高清,http://180.103.179.176:8888/rtp/239.49.8.146:6000
湖北卫视高清,http://180.103.179.176:8888/rtp/239.49.8.147:6000
天津卫视高清,http://180.103.179.176:8888/rtp/239.49.8.148:6000
重庆卫视高清,http://180.103.179.176:8888/rtp/239.49.8.149:6000
辽宁卫视高清,http://180.103.179.176:8888/rtp/239.49.8.173:6000
贵州卫视高清,http://180.103.179.176:8888/rtp/239.49.8.174:6000
四川卫视高清,http://180.103.179.176:8888/rtp/239.49.8.184:6000
江西卫视高清,http://180.103.179.176:8888/rtp/239.49.8.185:6000
东南卫视高清,http://180.103.179.176:8888/rtp/239.49.8.186:6000
吉林卫视高清,http://180.103.179.176:8888/rtp/239.49.8.187:6000
河北卫视高清,http://180.103.179.176:8888/rtp/239.49.8.188:6000
河南卫视高清,http://180.103.179.176:8888/rtp/239.49.8.197:6000
安徽卫视高清,http://180.103.179.176:8888/rtp/239.49.8.204:6000
广西卫视高清,http://180.103.179.176:8888/rtp/239.49.8.209:6000
海南卫视高清,http://180.103.179.176:8888/rtp/239.49.8.212:6000
江苏卫视高清,http://58.208.3.7:8888/rtp/239.49.8.138:6000
浙江卫视高清,http://58.208.3.7:8888/rtp/239.49.8.139:6000
东方卫视高清,http://58.208.3.7:8888/rtp/239.49.8.140:6000
北京卫视高清,http://58.208.3.7:8888/rtp/239.49.8.141:6000
湖南卫视高清,http://58.208.3.7:8888/rtp/239.49.8.142:6000
广东卫视高清,http://58.208.3.7:8888/rtp/239.49.8.143:6000
黑龙江卫视清,http://58.208.3.7:8888/rtp/239.49.8.144:6000
深圳卫视高清,http://58.208.3.7:8888/rtp/239.49.8.145:6000
山东卫视高清,http://58.208.3.7:8888/rtp/239.49.8.146:6000
湖北卫视高清,http://58.208.3.7:8888/rtp/239.49.8.147:6000
天津卫视高清,http://58.208.3.7:8888/rtp/239.49.8.148:6000
重庆卫视高清,http://58.208.3.7:8888/rtp/239.49.8.149:6000
辽宁卫视高清,http://58.208.3.7:8888/rtp/239.49.8.173:6000
贵州卫视高清,http://58.208.3.7:8888/rtp/239.49.8.174:6000
四川卫视高清,http://58.208.3.7:8888/rtp/239.49.8.184:6000
江西卫视高清,http://58.208.3.7:8888/rtp/239.49.8.185:6000
东南卫视高清,http://58.208.3.7:8888/rtp/239.49.8.186:6000
吉林卫视高清,http://58.208.3.7:8888/rtp/239.49.8.187:6000
河北卫视高清,http://58.208.3.7:8888/rtp/239.49.8.188:6000
河南卫视高清,http://58.208.3.7:8888/rtp/239.49.8.197:6000
安徽卫视高清,http://58.208.3.7:8888/rtp/239.49.8.204:6000
广西卫视高清,http://58.208.3.7:8888/rtp/239.49.8.209:6000
海南卫视高清,http://58.208.3.7:8888/rtp/239.49.8.212:6000
江苏卫视高清,http://49.64.23.83:4242/rtp/239.49.8.138:6000
浙江卫视高清,http://49.64.23.83:4242/rtp/239.49.8.139:6000
东方卫视高清,http://49.64.23.83:4242/rtp/239.49.8.140:6000
北京卫视高清,http://49.64.23.83:4242/rtp/239.49.8.141:6000
湖南卫视高清,http://49.64.23.83:4242/rtp/239.49.8.142:6000
广东卫视高清,http://49.64.23.83:4242/rtp/239.49.8.143:6000
黑龙江卫视清,http://49.64.23.83:4242/rtp/239.49.8.144:6000
深圳卫视高清,http://49.64.23.83:4242/rtp/239.49.8.145:6000
山东卫视高清,http://49.64.23.83:4242/rtp/239.49.8.146:6000
湖北卫视高清,http://49.64.23.83:4242/rtp/239.49.8.147:6000
天津卫视高清,http://49.64.23.83:4242/rtp/239.49.8.148:6000
重庆卫视高清,http://49.64.23.83:4242/rtp/239.49.8.149:6000
辽宁卫视高清,http://49.64.23.83:4242/rtp/239.49.8.173:6000
贵州卫视高清,http://49.64.23.83:4242/rtp/239.49.8.174:6000
四川卫视高清,http://49.64.23.83:4242/rtp/239.49.8.184:6000
江西卫视高清,http://49.64.23.83:4242/rtp/239.49.8.185:6000
东南卫视高清,http://49.64.23.83:4242/rtp/239.49.8.186:6000
吉林卫视高清,http://49.64.23.83:4242/rtp/239.49.8.187:6000
河北卫视高清,http://49.64.23.83:4242/rtp/239.49.8.188:6000
河南卫视高清,http://49.64.23.83:4242/rtp/239.49.8.197:6000
安徽卫视高清,http://49.64.23.83:4242/rtp/239.49.8.204:6000
广西卫视高清,http://49.64.23.83:4242/rtp/239.49.8.209:6000
海南卫视高清,http://49.64.23.83:4242/rtp/239.49.8.212:6000
云南卫视高清,http://49.64.23.83:4242/rtp/239.49.8.227:6000
江苏卫视高清,http://117.62.36.206:4022/rtp/239.49.8.138:6000
浙江卫视高清,http://117.62.36.206:4022/rtp/239.49.8.139:6000
东方卫视高清,http://117.62.36.206:4022/rtp/239.49.8.140:6000
北京卫视高清,http://117.62.36.206:4022/rtp/239.49.8.141:6000
湖南卫视高清,http://117.62.36.206:4022/rtp/239.49.8.142:6000
广东卫视高清,http://117.62.36.206:4022/rtp/239.49.8.143:6000
黑龙江卫视清,http://117.62.36.206:4022/rtp/239.49.8.144:6000
深圳卫视高清,http://117.62.36.206:4022/rtp/239.49.8.145:6000
山东卫视高清,http://117.62.36.206:4022/rtp/239.49.8.146:6000
湖北卫视高清,http://117.62.36.206:4022/rtp/239.49.8.147:6000
天津卫视高清,http://117.62.36.206:4022/rtp/239.49.8.148:6000
重庆卫视高清,http://117.62.36.206:4022/rtp/239.49.8.149:6000
辽宁卫视高清,http://117.62.36.206:4022/rtp/239.49.8.173:6000
贵州卫视高清,http://117.62.36.206:4022/rtp/239.49.8.174:6000
东南卫视高清,http://117.62.36.206:4022/rtp/239.49.8.186:6000
吉林卫视高清,http://117.62.36.206:4022/rtp/239.49.8.187:6000
河北卫视高清,http://117.62.36.206:4022/rtp/239.49.8.188:6000
河南卫视高清,http://117.62.36.206:4022/rtp/239.49.8.197:6000
安徽卫视高清,http://117.62.36.206:4022/rtp/239.49.8.204:6000
广西卫视高清,http://117.62.36.206:4022/rtp/239.49.8.209:6000
海南卫视高清,http://117.62.36.206:4022/rtp/239.49.8.212:6000
云南卫视高清,http://117.62.36.206:4022/rtp/239.49.8.227:6000
江苏卫视高清,http://49.75.167.254:8888/rtp/239.49.8.138:6000
浙江卫视高清,http://49.75.167.254:8888/rtp/239.49.8.139:6000
东方卫视高清,http://49.75.167.254:8888/rtp/239.49.8.140:6000
北京卫视高清,http://49.75.167.254:8888/rtp/239.49.8.141:6000
湖南卫视高清,http://49.75.167.254:8888/rtp/239.49.8.142:6000
广东卫视高清,http://49.75.167.254:8888/rtp/239.49.8.143:6000
黑龙江卫视清,http://49.75.167.254:8888/rtp/239.49.8.144:6000
深圳卫视高清,http://49.75.167.254:8888/rtp/239.49.8.145:6000
山东卫视高清,http://49.75.167.254:8888/rtp/239.49.8.146:6000
湖北卫视高清,http://49.75.167.254:8888/rtp/239.49.8.147:6000
天津卫视高清,http://49.75.167.254:8888/rtp/239.49.8.148:6000
重庆卫视高清,http://49.75.167.254:8888/rtp/239.49.8.149:6000
辽宁卫视高清,http://49.75.167.254:8888/rtp/239.49.8.173:6000
贵州卫视高清,http://49.75.167.254:8888/rtp/239.49.8.174:6000
四川卫视高清,http://49.75.167.254:8888/rtp/239.49.8.184:6000
江西卫视高清,http://49.75.167.254:8888/rtp/239.49.8.185:6000
东南卫视高清,http://49.75.167.254:8888/rtp/239.49.8.186:6000
吉林卫视高清,http://49.75.167.254:8888/rtp/239.49.8.187:6000
河北卫视高清,http://49.75.167.254:8888/rtp/239.49.8.188:6000
河南卫视高清,http://49.75.167.254:8888/rtp/239.49.8.197:6000
安徽卫视高清,http://49.75.167.254:8888/rtp/239.49.8.204:6000
广西卫视高清,http://49.75.167.254:8888/rtp/239.49.8.209:6000
海南卫视高清,http://49.75.167.254:8888/rtp/239.49.8.212:6000
云南卫视高清,http://49.75.167.254:8888/rtp/239.49.8.227:6000

🎬电影频道,#genre#
夏洛特烦恼,https://live.metshop.top/yy/1354936201
举起手来,https://live.metshop.top/yy/1382736877
非诚勿扰,https://live.metshop.top/yy/1382745100
插翅难逃,https://live.metshop.top/yy/1355279371
岳云鹏-屌丝也能追到美女,https://live.metshop.top/yy/1382736882
珍珠港-电影,https://live.metshop.top/yy/1354936234
丛林敢死队-国内电影,https://live.metshop.top/yy/1354936214
小鬼当家-童年回忆,https://live.metshop.top/yy/1382745104


🎬星爷经典,#genre#
星爷随机播,https://www.goodiptv.club/huya/11342412
周星驰采访,https://www.goodiptv.club/huya/21136378
回魂夜,https://v3.dious.cc/20220401/y9ihZG1e/index.m3u8
功夫,https://hnzy.bfvvs.com/play/lej5zYdj/index.m3u8
功夫,https://ukzy.ukubf4.com/20220407/j3bjFWpb/index.m3u8
国产凌凌漆,https://ukzy.ukubf4.com/20220330/CVILs5nr/index.m3u8
少林足球,https://hnzy.bfvvs.com/play/5eVn19eE/index.m3u8
大话西游之宝盒,https://hnzy.bfvvs.com/play/yb8qRLdv/index.m3u8
大话西游之宝盒,https://hnzy.bfvvs.com/play/Pdyr3ReQ/index.m3u8
大话西游之娶亲,https://hnzy.bfvvs.com/play/DbDR3qel/index.m3u8
大话西游之娶亲,https://hnzy.bfvvs.com/play/Rb48MnbB/index.m3u8
九品芝麻官,https://alimov2.a.kwimgs.com/upic/2021/12/28/11/BMjAyMTEyMjgxMTIyMTJfNDAzMDAxOTlfNjM2NjgxODA5MTBfMF8z_b_B6a0bcfcdbdaac183fa7dcbcd3e11bcaf.mp4
九品芝麻官,https://ukzy.ukubf4.com/20220407/CQI7owSE/index.m3u8
百变星君,https://hnzy.bfvvs.com/play/Pdy7yEaQ/index.m3u8
百变星君,https://hnzy.bfvvs.com/play/yb8WDgav/index.m3u8
武状元苏乞儿,https://hnzy.bfvvs.com/play/5eVJ0MeE/index.m3u8
武状元苏乞儿,https://v5.dious.cc/20220329/L61d2J07/index.m3u8
长江七号,https://hnzy.bfvvs.com/play/1aKrOKGe/index.m3u8
唐伯虎点秋香,https://ukzy.ukubf4.com/20220407/wnsgZzX9/index.m3u8
唐伯虎点秋香,https://v3.dious.cc/20220419/fgAtfUew/index.m3u8
逃学威龙,https://hnzy.bfvvs.com/play/YerYOWdO/index.m3u8
逃学威龙2,https://alimov2.a.kwimgs.com/upic/2021/12/28/16/BMjAyMTEyMjgxNjUxMzhfNDAzMDAxOTlfNjM2ODQ1ODYxNzhfMF8z_b_Ba5bdfedb34d432e906dbc401975d5387.mp4
逃学威龙2,https://hnzy.bfvvs.com/play/Rb49MkdB/index.m3u8
逃学威龙2,https://hnzy.bfvvs.com/play/PdymLgdQ/index.m3u8
逃学威龙3,https://hnzy.bfvvs.com/play/5eVZ7zeE/index.m3u8
食神,https://ukzy.ukubf4.com/20220407/dtaM5NLB/index.m3u8
食神,https://hnzy.bfvvs.com/play/5eVNkveE/index.m3u8
鹿鼎记,https://v3.dious.cc/20220329/ELzhdaDW/index.m3u8
鹿鼎记,https://hnzy.bfvvs.com/play/PdyrY6eQ/index.m3u8
鹿鼎记2之神龙教,https://hnzy.bfvvs.com/play/1aKvlxeQ/index.m3u8
鹿鼎记2之神龙教,https://ukzy.ukubf4.com/20220404/gfSdtuvX/index.m3u8
千王之王,https://hnzy.bfvvs.com/play/DbDvWnel/index.m3u8
千王之王,https://ukzy.ukubf4.com/20220331/8qlDdjip/index.m3u8
97家有喜事,https://ukzy.ukubf4.com/20220407/Ue4rNnif/index.m3u8
风雨同路,https://ukzy.ukubf4.com/20220408/cy7KQ4it/index.m3u8
风雨同路,https://v3.dious.cc/20220402/GquysVv9/index.m3u8
雌雄双辣,https://hnzy.bfvvs.com/play/QeZVR6ep/index.m3u8
审死官,https://v3.dious.cc/20220329/j1ZuOAEs/index.m3u8
审死官,https://ukzy.ukubf4.com/20220407/OxgWrcNR/index.m3u8
